N° Inventario;N° Posizione;NumeroScaffale;Dati proprietario;Argomento;Autore;Titolo;Sottotitolo;Parte di;Editore;LuogoDiPubblicazione;AnnoDiPubblicazione;Pagine;NumeroEdizione;Donazione di;Note;Ricerche;Tipologia;Prestito
707;01\02\041\n.2;;;Archeologia preistorica e protostorica;AA.VV;Popoli e civiltà dell'italia antica vol.2;;;Biblioteca di Storia Patria;Roma;1.974;346;;Luongo Marina;;"LA CIVILTÀ' DEL FERRO NELL'ITALIA MERIDIONALE E NELLA SICILIA
di BRUNO D'AGOSTINO ...........         9
1 - Cultura «Villanoviana» meridionale, 11. 2 - Cultura delle tombe a fossa, 26 - LA CALABRIA, 40 - IL MATERANO, 52 - LA PUGLIA, 53 - LA SICILIA, 64 - Apparato bibliografico e critico, 85.
LA CIVILTÀ' ITALO-SICELIOTA
di PAOLO ENRICO ARIAS ............     93
CAP. I - Documenti di precolonizzazione? .......     95
CAP. II - La fase orientalizzante in Sicilia e in Magna Grecia    .    .      99 CAP. Ili - Le colonie greche e le tirannie    .......     115
CAP. IV - L'arte nelle città siceliote   ........     129
CAP. V - L'arte nelle città italiote .........     149
IL MONDO PERIFERICO DELLA MAGNA GRECIA
di BRUNO D'AGOSTINO    ...........    177
PARTE PRIMA - LA CAMPANIA ..........    179
1) Le tradizioni antiche sui popoli, 179. 2) Gli aspetti culturali, 184.
a) L'area tra il Liri e il Volturno, 185,
b) Capua e i Campani, 188 - Capua e il Santuario del fondo Pat-turelli 196 - Le terrecotte architettoniche, 196 - I bronzi, 199 - La ceramica e figure nere, 200 - Pittura funeraria del V secolo a.C., 201 -La ceroplastica, 202 - La scultura in tufo, 204,
e) La Mesogeia e i Caudini, 205,
d) La piana del Sele, 209,
e) Gli Irpini, 212.
LA LUCANIA ..............    217
1) Le tradizioni antiche sui popoli, 217 - 2) Gli aspetti culturali, 220 -3) La ceramica geometrica e sub-geometrica, 221.
LA PUGLIA   ..............    227
1) Le tradizioni antiche sui popoli, 227-2) Notizie storione, 230 -3) Gli aspetti culturali, 233.
PARTE SECONDA - PITTURA E CERAMOGRAFIA DEL IV SECOLO A.C.    .    .    .     243
la) La pittura funeraria campana, 244 - Ib) La pittura funeraria lucana, 245 - 2) La ceramica campana, 247 - 2a) Le scuole di Capua, 247 - 2b) La scuola di Cuma, 252 - 3) La scuola pestana, 254 - 4) La scuola lucana, 256 - 5) La scuola apula, 260 - Apparato bibliografico e critico, 265.
PREISTORIA E PROTOSTORIA DI ROMA E DEL LAZIO
di GIOVANNI COLONNA    ...........    273
II quadro geografico, 275 - La preistoria: a) dati archeologici, 277 -b) dati leggendari, 281 - La protostoria, 283: a) II primo periodo la-ziale, 285, b) II secondo periodo laziale, 296, e) II terzo periodo lazia-le, 305, d) II quarto periodo laziale, 309 - Note bibliografiche e ap-parato critico, 319.";;
669;01\02\041\n.3;;;Archeologia preistorica e protostorica;AA.VV.;Popoli e civiltà dell'Italia antica vol.3;;;Biblioteca di Storia Patria;Roma;1.974;323;;Luongo Marina;;La civiltà punica - La Sardegna dell'età nuragica - La civiltà urbana degli Etruschi;;
552;01\02\041\n.4;;;Archeologia preistorica e protostorica;AA.VV.;Popoli e civiltà dell'italia antica vol. 4;;;Biblioteca di Storia Patria;Roma;1.975;359;;Luongo Marina;;"INDICE DEL QUARTO VOLUME

LA CULTURA PROTOVILLANOVIANA

di FERRANTE RITTATORE VONWILLER   .........      9

RIPOSTIGLI « PROTOVILLANOVIANI » DELL'ITALIA PENINSULARE (di Maria AntO-

nietta Fugazzola Delpino  ..........    43

APPARATO BIBLIOGRAFICO CRITICO .    .    .    .    .    .    .    .    .    .    .51

APPARATO BIBLIOGRAFICO CRITICO DEI RIPOSTIGLI DEL BRONZO FINALE ....     57

LA PROTOSTORIA DELLE VENEZIE

di GIULIA FOGOLARI    ............     61

PREMESSA    ...............    63

PARTE I - LA CIVILTÀ' PALEOVENETA ........ 69

1 - LE FONTI LETTERARIE E IL PROBLEMA DELLE ORIGINI, 69

2 - LA STORIA DELLE SCOPERTE, 75

3 - LE PRIME MANIFESTAZIONI, 77

4 - SVILUPPO STORICO DELLA CIVILTÀ PALEOVENETA DI PIANURA, 80

a) Este, 81

b) Padova, 108

e) Altri centri minori di pianura, 114

5 - I PALEOVENETI AL DI FUORI DELL'AREA EUGANEA - ASPETTO VENETO-ALPINO, 117

6 - ESPRESSIONI ARTISTICHE DEI PALEOVENETI, 124

a) L'arte delle situle, 124

b) Le stele patavine, 132 
e) I bronzetti, 136

PARTE II - ALTRI ASPETTI CULTURALI DELLA PROTOSTORIA DELLE

VENEZIE   ..............   141

1 - LA CULTURA VENETO-GALLICA DEGLI ALTOPIANI, 141

2 - LA CULTURA ALPINA CENTRO ORIENTALE - L'ASPETTO RETICO, 143

3 - LA CIVILTÀ VENETO-ILLIRICA, 152

4 - ADRIA, 156

PARTE III - LA VITA DEI PALEOVENETI

1 - GLI ABITATI, 161

2 - L'ABBIGLIAMENTO, 168

3 - LA RELIGIONE, 176

a) Le divinità, 176

b) Santuari e culti, 178

4 - PANORAMA SOCIO-ECONOMICO, 187

APPARATO BIBLIOGRAFICO CRITICO ....
LA CIVILTÀ' DEL FERRO IN LOMBARDIA, PIEMONTE E LIGURIA

di FERRANTE RITTATORE VONWILLER  .........

Cap. I    - INTRODUZIONE  ...........

Cap. II   - STORIA DELLE SCOPERTE DELLA CIVILTÀ DI GOLASECCA .

Cap. Ili  - ESTENSIONE GEOGRAFICA E CARATTERI GEOMORPOLOGICI DEL TERRI- 
TORIO IN RAPPORTO AGLI INSEDIAMENTI UMANI   ....

Cap. IV - L'ETHNOS ............

Cap. V    - LA SUCCESSIONE DELLE FACIES CULTURALI E LA TIPOLOGIA DELLA 
CERAMICA E DEI BRONZI .........

La cultura di Golasecca: Protogolasecca, 244 - Golasecca I, 
246 - Golasecca II, 247 - Golasecca III, 249.

Cap. VI   - LA CULTURA DI CANEGRATE   ........

Riti sepolcrali e ceramica, 253 - I bronzi, 254 - Elementi 
di datazione, 257.

Cap. VII - ORIGINE E SVILUPPO DELLA CIVILTÀ DI GOLASECCA .... 
Cap. Vili - LE AREE DELLA CIVILTÀ DI GOLASECCA  ......

Area di Golasecca e del Novarese, 270 - Alto Ticino, 275 -
Area del Comasco, 278 • Area del Bergamasco, 281.

Cap. IX   - LE AREE PERIFERICHE ..........

Area della Bassa Lombardia, 283 - Area del Piemonte occi- 
dentale, 285 - Area del Cuneese, 285 - Liguria, 288.

Cap. X   - FORME DI VITA ...........

Cap. XI   - GLI ABITATI   ...........

Cap. XII - IL RITO FUNEBRE E LE COSTRUZIONI TOMBALI .    .    .    .

Cap. XIII - IL COMMERCIO ...........

Esportazioni, 303 - Importazioni (Ceramica, bronzi, pasta 
vitrea, ambra, corallo), 304.

Cap. XIV - ISCRIZIONI E ALFABETO   .........

Cap. XV - MONETAZIONE   ...........

CONCLUSIONI ...............

APPARATO BIBLIOGRAFICO-CRITICO ...........

LE FASI FINALI DELLA CIVILTÀ DI GOLASECCA NELL'AMBITO DEGLI ASPETTI CULTU- 
RALI DELLA VALPADANA FINO ALLA ROMANIZZAZIONE (di Nuccia Negroni

Catacchio)    ..............

Premessa, 329 - Aspetti culturali del La Tene padano in area gola-
secchiana, 335 - La monetazione padana, 338 - Le principali aree di 
diffusione in Lombardia e Piemonte orientale, 342.

APPARATO BIBLIOGRAFICO CRITICO E REPERTORIO DEI RINVENIMENTI   .    . 
INDICE DELLE CARTE GEOGRAFICHE    ..........";;
536;01\02\041\n.5;;;Archeologia preistorica e protostorica;AA.VV.;Popoli e civiltà dell'italia antica vol.5;Culture arcaiche dell'Italia medio-adriatica;;biblioteca di storia patria;Bologna;1.966;363;;;;"CAP. II	- STORIA DELLE SCOPERTE E DEGLI STUDI ....... 19
CAP. Ili   - LE TRIBÙ ARCAICHE   ............     35
Note, 39
CAP. IV   - LE NECROPOLI ..............    41
La necropoli di Campovalano, 41 (La ceramica, 42 - II va-sellame metallico, 46 - L'armamento, 47 - Gli ornamenti della persona, 51 - Note, 53) - Le necropoli di Atri, 54 (Necropoli della Pretara, 54 - Necropoli di Colle della Giustizia, 55 -Note, 56) - Le necropoli di Loreto Aprutino, 56 (Necropoli Farina Cardite, 58 - Necropoli di Colle Fiorano, 60 - Note, 61) - La necropoli di Capestrano, 61 - Note, 63 - La necropoli di Alfedena, 63 - Note, 70
CAP. V    - I TROVAMENTI CASUALI   ...........     71
Scultura - In area abruzzese, 71 (Le sculture di Cape-strano, 71 - Le Gambe del Diavolo, 80 - La stele di Bellante, 81 - La testa Leopardi, 81 - La stele di Guardiagrele, 81 -La stele di Penna S. Andrea, 82 - II frammento di Ra-pino, 82 - II torso di Atessa, 83) - In area molisana, 84 (Testa di Pietrabbondante, 84 - II centauro di Boiano, 85 - Le scul-ture di Trivento, 85)
Oggetto di corredo, 86 (Corredo tombale da Torricella Peli-gna, 86 - Corredo tombale da Ortona, 87) - Fibula da Monte Fallano, 88 - Mascherette d'ambra da Vasto, 88 - Fibula da Pettorano sul Gizio, 89 - « Colum » da Sepino, 89 - Falera da Civitaluparella, 91 - Note, 91
CAP. VI    - CONSIDERAZIONI PER UNA SINTESI   ........     93
Note, 106
LA CIVILTÀ' PICENA di DELIA G. LOLLINI
107
Area di diffusione, nome e fonti, 109 - Problema dell'origine della civiltà, 118 - Svolgimento culturale, 122 - Piceno I, 122 - Piceno II, 125 - Piceno III, 130 - Piceno IV A, 137 -Piceno IV B, 150 - Piceno V, 156 - Piceno VI, 157 - Rapporti con le civiltà transadriatiche, 158 - Rapporti con la civiltà villanoviana, 159 - Rapporti con la civiltà etrusca, 160 -Rapporti con le altre civiltà del ferro italiane, 161 - Rapporti con la civiltà greca, 162 - Rapporti con la civiltà gallica, 165 - Rapporti con la civiltà di Hallstat, 166. Economia, 166 - Commercio, 168 - Armamento, 170 - Co-stume, 173 - Struttura sociale e ordinamenti politici, 175 -Riti funebri e credenze religiose, 177 - Lingua, 179 - Mani-festazioni artistiche, 180. Apparato bibliografico, 183.
LA CIVILTÀ' VILLANOVIANA di MARIO ZUFFA
PREMESSA   .  .
.   .   .   ...........    197
..............    199
CAP. I     - LE PRIME SCOPERTE E GLI STUDI DEI PIONIERI  .....    205
1. Le scoperte di Villanova e i primi tentativi esegetici, 205 -
2. Verso una classificazione sistematica, 211 - 3. I dati del-l'archeologia e la questione della « provenienza » degli Etru-schi, 225
CAP. II    - GENERALITÀ E QUESTIONI DI METODO   .......    243
1. Fisionomia della cultura villanoviana, 244 - 2. Periodizza-zione, 248 - 3. Tombe maschili e tombe femminili, 252
CAP. Ili   - IL VILLANOVIANO NELL'ETRURIA MERIDIONALE   .....    261
1. Tarquinia, 261 (a. Il Villanoviano I tarquiniese, 263 -b. Il Villanoviano II tarquiniese, 271 - e. La tomba del Guer-riero, 278 - d. Documenti sparsi, 284) - 2. Vulci, 285 - 3. Il caso di Cerveteri, 289 - 4. Veio, 303 - 5. L'avvento della facies « orientalizzante », 311
CAP. IV   - AREE DI DIFFUSIONE DELLA CULTURA VILLANOVIANA ....    317
1. Monogenesi o poligenesi?, 317 - 2. L'irradiazione verso nord, 320 - 3. Fermo e Verrucchio, 323 - 4. L'area bolo-gnese, 326
CAP. V    — LA CRONOLOGIA    .............    331
1. Origini della problematica attuale: Montelius e Karo, 331 - 2. Randall Mac Iver, Ducati, Àberg, von Berhart, 337 -3. Il dibattito attuale, 343
NOTA BIBLIOGRAFICA   ............    359";;
705;01\02\041\n.6;;;Archeologia preistorica e protostorica;AA.VV;Popoli e civiltà dell'italia antica vol.6;;;Biblioteca di Storia Patria;Roma;1.984;274;;Luongo Marina;;;;
382;01\02\041\n.7;;;Archeologia preistorica e protostorica;AA.VV;Popoli e civiltà dell'italia antica vol.7;;;Biblioteca di Storia Patria;Roma;1.978;397;;Luongo Marina;;"PRESENTAZIONE
di MASSIMO PALLOTTINO
pag.	9
CONSIDERAZIONI SULLE POPOLAZIONI DELL'ITALIA PRERO-MANA
di GIANFRANCO TIBILETTI   ............     »    15
Preambolo, 17 - I problemi fondamentali della penisola appen-ninica e della pianura padana, 20 - Le nazioni e i gruppi di popo-lazioni, 22 - L'Italia meridionale e i caratteri delle popolazioni osche, 24 - II mondo dei pastori italici: transumanza e diritto, 33 -Organizzazione dei Sanniti, 39 - Italia centrale, ipotesi sulla orga-nizzazione degli Etruschi, 40 - Note, 46
SOCIETÀ' E ISTITUZIONI NELL'ITALIA PREROMANA
di MAURO CRISTOFANI .............     »    51
Introduzione, 53 - L'aggregazione sociale di tipo tribale, 57 - Dalla tribù alla città-Stato, 65 - Origine e sviluppo delle « repubbliche » etrusche, 74 - Città-Stato e pagus nell'Italia peninsulare, 88 - Rife-      ' rimenti bibliografici, 103 - Nota bibliografica informativa, 109
STORIA MONETARIA DELL'ITALIA PREROMANA
di ATTILIO STAZIO   ..............     »   113
Carattere della moneta e aree di diffusione della monetazione in Italia, 115 - Magna Grecia e mondo italico, 117 - Sicilia, 144 -Illustrazioni, 163 - Indice descrittivo delle tavole, 171 - Biblio-grafia, 185GLI DEI DELLE STIRPI ITALICHE
di UGO BIANCHI ...............     »   195
Considerazioni introduttive, 197 - Gli attributi divini nelle tavole di Gubbio e la questione degli dei grabovii, 200 - Ancora sugli attributi divini nelle tavole di Gubbio e sulla questione degli dei grabovii, 202 - Le triadi, 205 - Ceres, Cerus, Cerfus e l'aggettivo Kerriio, 208 - Attributi divini e classi di divinità, 210 - Nomi divini ed « aspetto» degli dei presso gli Italici e a Roma, 213 - A propo-sito di sistematica teologica etrusca, 215 - II concetto di divinità e il pantheon nei rapporti inter-etnici dell'antica Italia, 215:
a) // nome degli dei, 216, b) Esempi di interdipendenza etrusco-romano italica, 218, e) L'influenza greca, 219 - Mars, 223 - Le dee del pantheon italico, 227 - luppiter, 232 - Note, 234
ARTE DELL'ITALIA PREROMANA
di PIERO ORLANDINI ..............     »   237
Note, 275
L'APPORTO ITALICO ALLA FORMAZIONE DELLA CIVILTÀ' ROMANA di GIORGIO GUALANDI  .............    »  287
I, ASPETTI PROBLEMATICI. LA GRECITA OCCIDENTALE E QUELLA ORIENTALE. L'ELLENIZZAZIONE DI ROMA, 289
II, LA SECONDA METÀ DEL IV SECOLO E GLI INIZI DEL III SECOLO (343-270
A.C.), 302: II mondo greco-occidentale, 304, II mondo indigeno del-l'Italia centro-meridionale, 324, II caso di Roma, 333
III, IL in SECOLO A.C. (270-209 A.C.), 344: Le regioni meridionali, 346,
L'area medio-italica, 353
IV, IL II SECOLO E LA PRIMA METÀ DEL I SECOLO A.C., 358
Apparato bibliografico critico, 362, /, La civiltà artistica del pe-riodo ellenistico, 362, //, L'ellenismo in territorio italico, 363,
///, La storia del territorio italico dal IV secolo al I secolo a.C., 364, IV, L'invasione di opere di arte greche a Roma, 365, V, Ta-ranto, 365, VI, I centri italici dell'Italia meridionale, 366, VII, La Sicilia, 366, Vili, La Campania e le regioni tirreniche meridio-nali, 368, IX, Etruria, 368, X, Arte medio-italica e correnti arti-stiche nel periodo repubblicano, 370, XI, Roma e il Lazio, 370
L'ITALIA PRIMA DELLA ROMANIZZAZIONE: PROPOSTA DI UNA SINTESI STORICA di MASSIMO PALLOTTINO   ............    »  371
Conoscenza e critica: progressiva conquista di una visione moderna del mondo italico, 373 — Lineamenti generali di svi-luppo, 378, 1. Processi formativi, 379, 2. L'età della fioritura arcaica greco-tirrenica, 382, 3. L'età delle crisi del V e IV se-colo, 385, 4. Avvio ai processi unitari, 389, Bibliografia, 390.
ELENCO DELLE ABBREVIAZIONI BIBLIOGRAFICHE, 391 REPERTORI ED OPERE, 393";;
383;01\02\041\n.8;;;Archeologia preistorica e protostorica;AA.VV;Popoli e civiltà dell'italia antica vol.8;;;Biblioteca di Storia Patria;Roma;1.978;469;;Luongo Marina;;"INDICE GENERALE
PARTE PRIMA
GRECI E INDIGENI NEL SUD DELLA PENISOLA DALL-'VIII SECOLO A.C. ALLA CONQUISTA ROMANA (A. Bot-tini e P.G. Guzzo) ................................
CAP. I -1 COLONI GRECI IN ITALIA MERIDIONALE
E PENINSULARE .....................
A. fenomenologia della colonizzazione, 13 (P.G. Guzzo) B. tradizioni letterarie antiche ed
interpretazioni di esse, 25 (P.G. Guzzo) - bi-bliografia, 32.
CAP. II -1 GRECI D'ITALIA NEL PERIODO ARCAICO
A. la Magna Grecia nel periodo arcaico (VIII-V sec.), 37 (P.G. Guzzo) B. le manifestazioni produttive delle colonie arcaiche, 74: a) da Cu-ma a Sibari, 75 (P.G. Guzzo) - b) da Siris a Ta-ranto al Salente, 92 (le presenze precoloniali fra il territorio di Siris a quello di Tarante, 92, Siris, 94, Metaponto, 100, Tarante, 129, le presenze greche lungo le coste adriatiche del Salente, 139) (A. Bottini) - bibliografia, 141.
CAP. Ili -1 POPOLI INDIGENI FINO AL V SECOLO
A. articolazione territoriale ed etnica, 153 (A. Bottini) - B. manifestazioni e testimonianze della produzione, 157 (Campania e Calabria, 157) (P.G. Guzzo) - B.l. Basilicata e Puglia, 171(l'area enotria, 171, la Basilicata centro set-tentrionale, 195, la Basilicata orientale e la fa-scia costiera ionica, 205, la Messapia, 212, la Peucezia, 224, la Daunia, 228) (A. Bottini) - bi-bliografia, 238.
CAP. IV - GLI ITALIOTI FINO ALLA CONQUISTA
ROMANA .............................      253
A. tra eredità e novità: come città libere di-ventano soggette, 255 (P.G. Guzzo) - B. terri-torio e produzioni, 287: a) da Cuma a Thurii, 287 (P.G. Guzzo) b) da Heracleia a Tarante, 303, Metaponto, 307, Tarante, 312 (A. Botti-ni) - bibliografia, 338.
CAP. V -1 POPOLI ITALICI .....................      343
Nuovi assetti etnico-culturali, 345 (A. Botti-ni): a) la Campania sannitica, 348 (P.G. Guz-zo) - b) la Lucania, 356 (A. Bottini) - e) i Brezi, 366 (P.G. Guzzo) - l'Apulia, 372 (A. Bottini) -bibliografia, 385.
PARTE SECONDA
ROMA ED IL LATIUM VETUS NEL VI E NEL V SECO-LO A.C. (C. Ampolo) ..............................      391
1. le tradizioni, 393 - 2. i documenti, 401 - 3. fonti archeologiche e complessi monumenta-li, 428 - 4. i grandi problemi storici e le gran-di trasformazioni, 451-4. a) la monarchia ro-mana e le sue trasformazioni fino all'instau-razione del regime repubblicano, 452 - 4. b) il rapporto con gli Etruschi e le altre popola-zioni italiche, 457 - 4. e) l'evoluzione della cul-tura romana in rapporto al mondo ellenico ed alla Koinè etrusco-italica, 460 - bibliografia, 463.";;
384;01\02\041\n.9;;;Archeologia preistorica e protostorica;AA.VV;Popoli e civiltà dell'italia antica vol.9;;;Biblioteca di Storia Patria;Roma;1.978;645;;Luongo Marina;;"INDICE GENERALE
II senso della protostoria italiana .   .   .   .   .   .' pag. 7
Parte prima
L'ETÀ' DEL BRONZO
1 - Le tonti archeologiche e le loro articolazioni crono-
logiche e geografiche   ........   »  27
2 - Le comunità, il territorio e le sue risorse ...    »  97
3 - Le comunità: struttura, organizzazione, dinamica .   » 162
4 - Le manifestazioni di culto .......   » 307
5 - Aggregazioni e movimenti etnici   .   .   .   .   .   » 331
Parte seconda
LA PRIMA ETÀ' DEL FERRO
1 - Le fonti archeologiche e le loro articolazioni crono-
logiche e geografiche   ........   » 395
2 - Le comunità, il territorio e le sue risorse ...» 426
3 - Le comunità: struttura, organizzazione, dinamica   » 462
4 - Le manifestazioni di culto .......   » 532
5 - Aggregazioni e movimenti etnici   .....   » 544
Note biblio grafiche ..........    » 569
Indici analitici (a cura di F. di Gennaro) ....   » 605
Indice degli autori moderni   ......   » 607
Indice dei luoghi  .........   » 609
Indice dei tipi e delle fogge  ......   » 625";;
285;01\02\042;;;Archeologia preistorica e protostorica;Bertone;Chianocco;metodi della ricerca archeologica sulle alpi occidentali;;comune di Chiomonte;Chiomonte;1.992;;;;;;;
313;01\02\043;;;Archeologia preistorica e protostorica;AA.VV.;Arte rupestre preistorica;nel piemonte e nell'europa occidentale;;Regione Piemonte;Pinerolo;1.977;;;;;;;
289;01\02\044;;;Archeologia preistorica e protostorica;AA.VV.;Preistoria dal vivo;Archeologia sperimentale a Chiomonte;;Quaderni del museo-5;Chiomonte;1.989;;;;fotocopie;;;
290;01\02\045;;;Archeologia preistorica e protostorica;Gambari;Rapporti tra le culture preistoriche piemontesi e le aree transalpine;nuovi dati e proposte interpretative;;bulletin d'etudes prehistoriques alpines,xv;Aosta;1.983;;;;estratto;;;
314;01\02\046;;;Archeologia preistorica e protostorica;AA.VV.;Oltre la pietra;modelli e tecnologie per capire la preistoria;;a.b.a.c.o.;Forlì;1.996;311;;;;"PRESENTAZIONE                                               7 
FOREWORD                                                    8 
Giovanni Tassani

EVOLUZIONISMO: COSMICO, BIOLOGICO, CULTURALE              9 
COSMIC, CULTURALANDBIOLOGICALEVOLUTIONISM                19 
Francesco Barone

L'EVOLUZIONE DEL CERVELLO E DEL COMPORTAMENTO            29 
BRAIN AND BEHAVIOUR EVOLUTION                              39 
Alberto Oliverio

L'EVOLUZIONE ""CONSAPEVOLE"" 
THÈ ""CONSCIOUSNESS"" OF EVOLUTION 
Tommaso Purini

PREISTORIA E STORIA 
PREHISTORY ANO HISTORY 
Giancarlo Susini

NON SOLO PIETRA 
NOTONLYSTONE 
Giuliano Toraldo di Francia

47 
57

67 
73

79 
89

ARTE E CONCETTUALITA' DELL'HOMO SAPIENS                    99 
ARTAND CONCEPTUALITY OF THÈ HOMO SAPIENS                   123 
Emmanuel Anati

GENETICA E LINGUISTICA COME STRUMENTI

PER RICOSTRUIRE IL PASSATO

GENETICS AND LINGUISTICS AS 1NSTRUMENTS

FOR RECONSTRUCTING THÈ PAST

Guido Barbujani

145 
759

ANTROPLOGIA, PROTEINE E DNA: LE MOLECOLE COME STRUMENTO

PER RICOSTRUIRE LA STORIA EVOLUTIVA DELL'UOMO             173

ANTHROPOLOGY, PROTEINS AND DNA: MOLECULESAS TOOL

IN THÈ RECONSTRUCTION OF HUMAN EVOLUTION                  183

Giovanni Destro-Bisol

LA RICERCA TAPONOMICA: UNA CHIAVE PER L'INTERPRETAZIONE

DEI SITI PREISTORICI                                            197

TAPHONOMIC RESEARCH: A KEY TO THÈ INTERPRETATI ON OF

PREHISTORIC SITES                        _                      207

Giacomo GiacobiniAL DI LA DEL MITO E DELLA CONSUETUDINE. ORIGINI

ED EVOLUZIONE DI HOMO SAPIENS

BEYOND MYTHSAND CUSTOMS. ORIGINSAND EVOLUTION

OF HOMO SAPIENS

Giorgio Manzi

LINGUAGGIO ED EVOLUZIONE NELLA MIDDLE STONE AGE 
LANGUAGE AND EVOLUTION IN THÈ MIDDLE STONE AGE 
Duane Quiatt

EVOLUZIONE E DIVERSITÀ DELLE TECNICHE

E DEI METODI DI SCHEGGIATURA NEL PALEOLITICO

EVOLUTION AND DIVERSITÀIN FLAKING TECHNIQUES

AND METHODS IN THÈ PALAEOLITHIC

Pierre-Jean Texier";;
319;01\02\047\n.1;;;Archeologia preistorica e protostorica;AA.VV.;Bollettino del XIII congresso dell'unione internazionale delle scienze preistoriche e protostoriche;n.1;;;Forlì;1.996;;;;;;;
323;01\02\047\n.2;;;Archeologia preistorica e protostorica;AA.VV.;Bollettino del XIII congresso dell'unione internazionale delle scienze preistoriche e protostoriche;n.2;;;Forlì;1.996;;;;;;;
320;01\02\047\n.3;;;Archeologia preistorica e protostorica;AA.VV.;Bollettino del XIII congresso dell'unione internazionale delle scienze preistoriche e protostoriche;n.3;;;Forlì;1.996;;;;;;;
438;01\02\047\n.3a;;;Archeologia preistorica e protostorica;AA.VV.;Bollettino del XIII congresso dell'unione internazionale delle scienze preistoriche e protostoriche;n.3;;;Forlì;;;;;;;;
322;01\02\047\n.4;;;Archeologia preistorica e protostorica;AA.VV.;Bollettino del XIII congresso dell'unione internazionale delle scienze preistoriche e protostoriche;n.4;;;Forlì;1.996;;;;;;;
321;01\02\047\n.5;;;Archeologia preistorica e protostorica;AA.VV.;Bollettino del XIII congresso dell'unione internazionale delle scienze preistoriche e protostoriche;n.5;;;Forlì;1.996;;;;;;;
374;01\02\048;;;Archeologia preistorica e protostorica;Vassilakis Antonis;Cnosso;Mitologia -Storia - Guida del sito archeologico;;Adam edizioni;Atene;;143;;;;;;
392;01\02\049;;;Archeologia preistorica e protostorica;AA.VV;La birra e il fiume;Pombia e le vie dell'Ovest Ticino tra VI e V secolo a.C.;;Celid;Torino;2.001;157;;;;;;
417;01\02\050;;;Archeologia preistorica e protostorica;AA.VV.;Una miniera preistorica di selce;ricerche archeologiche alla Defensola;;Museo Parma;Parma;1.992;8;;;;;;
416;01\02\051;;;Archeologia preistorica e protostorica;Gazzi -Mano;Sulle tracce della preistoria;itinerari di archeologia nel cuneese;;comune Cuneo;Cuneo;1.985;12;;;;;;
397;01\02\052;;;Archeologia preistorica e protostorica;AA.VV;Ecco i Celti;;;La Stampa;Torino;1.991;80;;;;;;
398;01\02\053;;;Archeologia preistorica e protostorica;AA.VV.;Alle origini della Romagna;i primi abitanti;;comune Forlì;Forlì;1.987;50;;;;;;
401;01\02\054;;;Archeologia preistorica e protostorica;AA.VV.;Arte rupestre del Sahara;;;cesmap;Pinerolo;1.995;75;;;catalogo mostra;;;
402;01\02\055;;;Archeologia preistorica e protostorica;AA.VV.;Siberian rock art;;;cesmap;Pinerolo;1.999;112;;;catalogo mostra;;;
403;01\02\056;;;Archeologia preistorica e protostorica;AA.VV.;La fucina di vulcano;metalli del piemonte antico;;soprintendenza archeologica del Piemonte;Torino;1.993;16;;;catalogo mostra;;;
