Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Default (0 = No, 1 = Yes)
227;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Istituto internazionale di Studi Liguri:1@Genova:1@2003:1@310:1;1
228;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Città di Chieri:1@Chieri:1@2010:1@159:1;1
229;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Ananke:1@Torino:1@2002:1@79:1;1
230;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Sandro Caranzano:1@Ananke:1@Torino:1@2012:1@271:1;1
231;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Cooperativa grafica italiana:1@Torino:1@2002:1@79:1;1
232;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Arnal J., Marjurel R., Prades H.:1@Institut international d'études ligures:1@Cuneo:1@1974:1@336:1;1
233;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Anati Emmanuel:1@Edizioni del centro:1@Brescia:1@1972:1@132:1;1
234;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Conti Carlo:1@Istituto internazionale di studi Liguri:1@Cuneo:1@1973:1@168:1;1
235;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Borgna Cesare G.:1@n.d.:1@Pinerolo (TO):1@1980:1@431:1;1
236;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Blanc A. C. Pales L.:1@Istituto internazionale di Studi Liguri:1@Cuneo:1@1960:1@85:1;1
237;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Lambroglia N.:1@Istituto internazionale di Studi Liguri:1@Cuneo:1@1960:1@129:1;1
238;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Lambroglia N.:1@Istituto internazionale di Studi Liguri:1@Cuneo:1@1964:1@50:1;1
239;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Lambroglia N.:1@Istituto internazionale di Studi Liguri:1@Cuneo:1@1966:1@35:1;1
240;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Lambroglia N.:1@Istituto internazionale di Studi Liguri:1@Cuneo:1@1972:1@33:1;1
241;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Negroni Catacchio N., Ucelli Gnesutta P., Poggiani Keller R., Figura P.:1@n.d.:1@Firenze:1@1979:1@34:1;1
242;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bocquet A.:1@Société des Amis du vieil Annecy:1@Annecy:1@1976:1@23:1;1
243;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@n.d.:1@20:1;1
244;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;n.d.:1@n.d.:1@n.d.:1@n.d.:1@26:1;1
245;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Frey O. H.:1@Congedo Editore:1@Galatina (LE):1@1991:1@108:1;1
246;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Fozzati Luigi, Cima Marco:1@Reale Accademia delle Scienze Torino:1@Castellamonte:1@1986:1@127:1;1
247;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Gazzella,de Sanctis,Finco,Macchiarola,Quagliuolo:1@n.d.:1@Roma:1@1986:1@32:1;1
248;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Gambari F.M., Gambari Venturino M., Perotto A., Ottomano C., Bedini E., Severini F., Paglialunga L., Vitiello A., Bartoli F., De:1@Dell'orso edizioni:1@Torino:1@1999:1@171:1;1
249;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bicknell Clarence:1@Istituto internazionale di studi liguri:1@Cuneo:1@1972:1@138:1;1
250;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Anati E.:1@Edizioni del Centro:1@Brescia:1@1982:1@235:1;1
251;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Prieur J.:1@Museo di Chambery:1@Chambery:1@1981:1@70:1;1
252;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Fugazzola Delpino Maria Antonietta:1@Edizioni dell’ateneo:1@Roma:1@1984:1@205:1;1
253;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;n.d.:1@Jaka Book:1@Carugate (MI):1@1982:1@76:1;1
254;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Ambrosi  A. C.:1@Istituto internazionale di studi liguri:1@Cuneo:1@1972:1@168:1;1
255;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cima M., Fozzati L.,Carraro F., Civiero C., Peradotto M.,Fogliasso L., Sottili W., Corino M., Mano L.,Nisbet R., Del Signore L.,:1@Edizioni Corsac:1@Cuorgné (TO):1@1986:1@156:1;1
256;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cima M.:1@Università di Torino/Istituto di Antropologia:1@Torino:1@1981:1@63:1;1
257;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Gagnière S.:1@Institut international d'études ligures:1@Cuneo:1@1975:1@110:1;1
258;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.I.:1@Roma:1@1982:1@157:1;1
259;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Cesmap:1@Pinerolo:1@2001:1@19:1;1
260;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.I.:1@Roma:1@1981:1@176:1;1
261;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@G.A.I.:1@Maddaloni:1@1981:1@179:1;1
262;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Alba:1@1995:1@481:1;1
263;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Giot:1@Editions Ouest France:1@n.d.:1@n.d.:1@25:1;1
264;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Grafiche Fiorini:1@Verona:1@1983:1@n.d.:1;1
265;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Santo Tinè:1@Sagep Editrice:1@Genova:1@1983:1@n.d.:1;1
266;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Giacomo Benevelli:1@Rizzoli:1@Milano:1@1983:1@n.d.:1;1
267;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Nisbet, Seglie:1@museo di arte preistorica:1@Pinerolo:1@1983:1@82:1;1
268;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Pari:1@Segusium n.13\14:1@Susa:1@1978:1@n.d.:1;1
269;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cittadini:1@Edizioni del centro:1@Capo di ponte(bs):1@1985:1@64:1;1
270;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Bompiani:1@Milano:1@1991:1@720:1;1
271;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Fedele F.:1@Ad Quintum:1@Torino:1@1990:1@n.d.:1;1
272;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Biblioteca di Storia Patria:1@Roma:1@1974:1@536:1;1
273;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Biblioteca di Storia Patria:1@Roma:1@1978:1@790:1;1
274;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@biblioteca di storia patria:1@Bologna:1@1992:1@n.d.:1;1
275;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Biblioteca di Storia Patria:1@Roma:1@1974:1@346:1;1
276;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Biblioteca di Storia Patria:1@Roma:1@1974:1@323:1;1
277;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Biblioteca di Storia Patria:1@Roma:1@1975:1@359:1;1
278;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@biblioteca di storia patria:1@Bologna:1@1966:1@363:1;1
279;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Biblioteca di Storia Patria:1@Roma:1@1984:1@274:1;1
280;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Biblioteca di Storia Patria:1@Roma:1@1978:1@397:1;1
281;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Biblioteca di Storia Patria:1@Roma:1@1978:1@469:1;1
282;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Biblioteca di Storia Patria:1@Roma:1@1978:1@645:1;1
283;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bertone:1@comune di Chiomonte:1@Chiomonte:1@1992:1@n.d.:1;1
284;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Regione Piemonte:1@Pinerolo:1@1977:1@n.d.:1;1
285;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Quaderni del museo-5:1@Chiomonte:1@1989:1@n.d.:1;1
286;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Gambari:1@bulletin d'etudes prehistoriques alpines,xv:1@Aosta:1@1983:1@n.d.:1;1
287;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@a.b.a.c.o.:1@Forlì:1@1996:1@311:1;1
288;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Forlì:1@1996:1@n.d.:1;1
289;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Forlì:1@1996:1@n.d.:1;1
290;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Forlì:1@1996:1@n.d.:1;1
291;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Forlì:1@n.d.:1@n.d.:1;1
292;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Forlì:1@1996:1@n.d.:1;1
293;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@Forlì:1@1996:1@n.d.:1;1
294;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Vassilakis Antonis:1@Adam edizioni:1@Atene:1@n.d.:1@143:1;1
295;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@Celid:1@Torino:1@2001:1@157:1;1
296;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Museo Parma:1@Parma:1@1992:1@8:1;1
297;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Gazzi -Mano:1@comune Cuneo:1@Cuneo:1@1985:1@12:1;1
298;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV:1@La Stampa:1@Torino:1@1991:1@80:1;1
299;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@comune Forlì:1@Forlì:1@1987:1@50:1;1
300;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@cesmap:1@Pinerolo:1@1995:1@75:1;1
301;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@cesmap:1@Pinerolo:1@1999:1@112:1;1
302;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@soprintendenza archeologica del Piemonte:1@Torino:1@1993:1@16:1;1
303;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@A.B.A.C.O.:1@Forlì:1@1996:1@390:1;1
304;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@regione Valle d'Aosta:1@Aosta:1@1992:1@98:1;1
305;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bocquet A. - F.Ballet:1@Centre de documentation de la préhistoire alpine:1@Grenoble:1@1979:1@28:1;1
306;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Ferrari A.:1@Tirrenia Stampatori:1@Torino:1@1994:1@70:1;1
307;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Rossi M.:1@Antropologia Alpina:1@Torino:1@1997:1@130:1;1
308;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Drappero N.:1@Capella:1@Cirié:1@1973:1@154:1;1
309;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bousquet-Gourdiole-Guiraud-Charles:1@Cahiers Ligures de Préhistoire et d'Archéologie:1@Montpellier:1@1968:1@212:1;1
310;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bertone A.:1@Civico Museo Archeologico di Chimonte:1@Condove:1@1991:1@50:1;1
311;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Biagi P.:1@Grafo:1@Brescia:1@1980:1@53:1;1
312;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@1980:1@56:1;1
313;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Ragone - Pagliuca:1@Centro culturale franco-italiano:1@Lavello:1@1995:1@115:1;1
314;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Museo Tridentino di Scienze Naturali:1@Trento:1@1980:1@170:1;1
315;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Museo Tridentino di Scienze Naturali:1@Trento:1@1981:1@75:1;1
316;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Cesmap:1@Pinerolo:1@1999:1@136:1;1
317;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Giacobini Giacomo:1@n.d.:1@n.d.:1@1976:1@10:1;1
318;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Soprintendenza Archeologica della Liguria:1@n.d.:1@n.d.:1@16:1;1
319;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Fedele Francesco:1@n.d.:1@n.d.:1@1985:1@15:1;1
320;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bertone Aureliano:1@n.d.:1@n.d.:1@1989:1@29:1;1
321;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bertone Aureliano:1@n.d.:1@n.d.:1@1977:1@6:1;1
322;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Capello C.F.:1@n.d.:1@Roma:1@1950:1@13:1;1
323;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@n.d.:1@5:1;1
324;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@n.d.:1@38:1;1
325;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@1981:1@20:1;1
326;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@1985:1@10:1;1
327;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@n.d.:1@n.d.:1@1984:1@18:1;1
328;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Leroi-Gourhan:1@n.d.:1@n.d.:1@n.d.:1@14:1;1
329;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;AA.VV.:1@Le Scienze Quaderni n.30:1@n.d.:1@1986:1@115:1;1
330;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Nisbet R.:1@n.d.:1@n.d.:1@n.d.:1@6:1;1
331;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bertone A.:1@Segusium:1@Susa:1@1985:1@15:1;1
332;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Rossi Gattiglia:1@Antropologia alpina:1@Torino:1@1982:1@27:1;1
333;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Rossi Gattiglia:1@Antropologia alpina:1@Torino:1@n.d.:1@21:1;1
334;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Sarti Arcangiolo:1@n.d.:1@n.d.:1@n.d.:1@5:1;1
335;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Sarti Lucia:1@n.d.:1@n.d.:1@n.d.:1@16:1;1
336;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Cresti Gianfranco:1@n.d.:1@n.d.:1@n.d.:1@10:1;1
337;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Genick Cocchi:1@n.d.:1@n.d.:1@n.d.:1@32:1;1
338;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Bartoli-Giannoni:1@n.d.:1@n.d.:1@n.d.:1@11:1;1
339;Autore:autore:1@Editore:editore:2@Luogo pubblicazione:luogo-pubblicazione:3@Data pubblicazione:data-pubblicazione:4@Numero pagine:numero-pagine:5;Ronchitelli:1@n.d.:1@n.d.:1@n.d.:1@19:1;1
